Trait	PC	Delta	Trait_long	Label	stars
MONPL	PC4	-0.00482834082012385	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC5	-0.00502335562619257	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC6	-0.0981208580565243	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC7	0.00166227371763988	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC8	-0.00102545337569996	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC9	-0.0025334776119573	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC10	0.00826869241343653	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC11	-0.0156294619705277	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC12	-0.00038291901065108	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC13	-0.0122746205888913	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC14	-0.00197518294583077	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MWCC	PC1	-0.00022936927604819	Myeloid White Cell Count	Myeloid White Cell Count	""
